No me gusta mucho mi forma de ser,Me intereso mucho por los demás,Creo que la vida es muy gratificante,Siento mucho afecto por casi todo el mundo,Pocas veces me siento descansado/a cuando me levanto por la mañana,No soy muy optimista respecto al futuro,"Normalmente, casi todo me parece divertido",Siempre me comprometo y me involucro,La vida es muy bonita,No creo que el mundo sea un lugar agradable,Me río mucho,Estoy muy satisfecho/a con mi vida,No me considero atractivo,Hay una gran diferencia entre lo que me gustaría hacer y lo que realmente hago,Soy muy feliz,Encuentro belleza en algunas cosas,Siempre produzco cierto efecto y contribuyo a la alegría en los demás,Encuentro tiempo para todo lo que quiero hacer,"Siento con frecuencia, que no controlo demasiado mi vida",Me siento capaz de soportarlo todo,A menudo me siento alegre y eufórico,No me resulta fácil tomar decisiones,Siento que mi vida no tiene un sentido ni un propósito determinado,Me da la impresión de que tengo mucha energía,Me siento muy despierto mentalmente,Suelo influir de forma positiva en los acontecimientos,No suelo divertirme con los demás,No me siento demasiado sano,No tengo recuerdos demasiado felices del pasado,Edad:,Género:,Semestre:,Estrato económico:,Estado civil:,Trabaja:,¿El nivel de sus ingresos con respecto a sus gastos mensuales son?,Promedio académico:,Es creyente,¿Quién costea sus estudios?,Tiempo promedio diario de uso del celular:,Tiempo de traslado,¿En que tipo de casa vive?,clase
5,5,5,3,5,5,3,4,5,5,3,5,3,3,4,5,5,3,3,3,3,3,3,4,4,4,3,3,3,1,0,1,1,0,0,0,1,1,0,1,0,0,1
5,5,5,3,3,5,4,4,5,5,4,4,4,3,5,5,4,4,5,5,5,2,4,3,4,4,5,5,5,0,1,0,1,0,0,1,1,0,0,1,1,1,1
3,3,3,2,2,4,5,4,4,3,5,5,3,3,4,4,2,4,3,2,3,4,2,3,3,3,4,2,3,1,0,1,0,0,0,1,1,0,0,0,1,0,0
4,4,5,4,1,4,5,4,5,5,4,5,5,4,5,4,4,3,5,4,5,2,5,1,4,4,4,5,5,1,0,1,0,0,1,1,1,1,1,1,1,0,1
4,4,4,4,4,5,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,3,4,3,3,4,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1
4,4,5,3,5,5,4,4,5,4,5,5,4,3,5,4,3,1,3,4,4,2,5,3,3,3,4,3,5,0,1,0,1,1,0,1,0,1,0,1,0,1,1
4,4,5,3,5,5,4,4,5,4,5,5,4,3,5,4,3,1,3,4,4,2,5,3,3,3,4,3,5,0,1,0,1,1,0,1,0,1,0,1,0,1,1
4,4,4,2,2,2,2,3,4,4,3,3,4,2,3,4,4,2,4,1,4,4,4,4,2,3,2,4,2,1,0,1,1,0,1,0,1,1,1,1,1,1,0
2,2,4,1,2,5,1,4,4,4,2,4,4,2,3,5,1,1,2,5,5,4,4,2,2,4,3,4,5,0,0,0,0,1,0,1,1,0,0,1,0,1,0
3,4,4,4,3,4,2,3,5,4,1,2,5,4,2,4,3,3,2,2,2,4,5,3,3,4,3,2,4,0,0,0,1,0,0,1,0,1,0,1,0,1,0
5,2,4,2,5,5,3,4,5,4,4,2,5,4,5,4,4,3,2,2,3,1,5,3,4,4,4,5,5,1,0,1,1,1,1,1,1,0,1,1,0,0,1
5,4,5,3,4,5,5,4,3,3,5,4,4,5,4,5,5,4,3,4,5,1,5,2,4,4,5,4,5,0,0,0,1,0,0,1,1,1,0,0,1,0,1
1,3,4,4,4,4,1,3,4,5,3,5,3,4,4,5,4,3,4,4,3,2,5,3,5,5,4,4,4,0,0,0,0,0,1,1,1,1,0,1,0,0,1
2,2,2,1,1,2,2,3,1,2,4,2,1,2,1,3,3,1,2,4,1,2,1,5,3,2,2,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0
3,2,2,4,2,3,5,3,2,1,4,1,3,3,3,4,4,4,2,4,3,4,2,3,3,3,2,2,2,1,0,1,1,0,0,0,1,1,0,0,1,0,0
3,2,2,4,2,3,5,3,2,1,4,1,3,3,3,4,4,4,2,4,3,4,2,3,3,3,2,2,2,1,0,1,1,0,0,0,1,1,0,0,1,0,0
